classes,15comm,15used,15dealloc,15ovrhead,15ovhdperc,16comm,16used,16ovrhead,16ovhdperc
1,14,12,2,4,33,14,10,4,29
2,82,25,4,61,244,22,21,1,5
3,84,36,4,52,144,36,32,4,11
4,84,47,4,41,87,44,43,1,2
5,86,58,4,32,55,68,53,15,22
6,86,69,4,21,30,70,64,6,9
7,88,79,4,13,16,86,75,11,13
8,152,90,6,68,76,88,85,3,3
9,184,101,6,89,88,104,96,8,8
10,184,112,6,78,70,120,107,13,11
11,184,123,6,67,54,124,118,6,5
12,184,133,6,57,43,140,129,11,8
13,184,144,6,46,32,156,140,16,10
14,184,155,6,35,23,156,150,6,4
15,248,166,6,88,53,172,161,11,6
16,248,177,6,77,44,176,171,5,3
17,248,187,6,67,36,192,182,10,5
18,248,198,6,56,28,208,193,15,7
19,248,209,6,45,22,208,203,5,2
20,248,219,6,35,16,224,214,10,4
 ,,,,,,,,,
