Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

2019-09-29 11:14:41,"14579532","0","","","4","0","","","","","","","6800020","31160","12516","18644","0","0","","","2","","","17","256000","1518","4480","3053","384","254","21296","7488","0","8","1","","15392","3","0","407","","",
2019-09-29 11:14:42,"14546080","0","0","0","1","0","12","1","86","0","0","0","7412764","73092","44696","28396","0","0","12","1","5","5423","0","25","14336","3461","19200","18549","2048","1921","32000","7616","0","11","1","3","24620","211","208","2989","2582","0",
2019-09-29 11:14:43,"14546080","0","0","0","1","0","0","0","100","0","0","0","7412764","73092","44696","28396","0","0","0","0","5","7","0","25","14336","3461","19200","18549","2048","1921","32000","7616","0","11","1","0","24620","211","208","2989","0","0",
2019-09-29 11:14:44,"14546088","0","0","0","1","0","0","0","100","0","0","0","7412764","73092","44696","28396","0","0","0","0","5","7","0","25","14336","3461","19200","18549","2048","1921","32000","7616","0","11","1","0","24620","211","208","2989","0","0",
2019-09-29 11:14:45,"14546088","0","0","0","1","0","0","0","100","0","0","0","7412764","73092","44696","28396","0","0","0","0","5","7","0","25","14336","3461","19200","18549","2048","1921","32000","7616","0","11","1","0","24620","211","208","2989","0","0",
2019-09-29 11:14:46,"14445776","0","0","0","3","0","9","0","90","0","0","0","7457820","173340","144944","28396","0","0","8","0","5","70","0","24","15360","9018","72780","66688","9804","4822","115328","7808","0","9","1","0","23588","4041","208","6819","3830","0",
2019-09-29 11:14:47,"14267096","0","0","0","3","0","16","1","83","0","0","0","7558172","351972","323576","28396","0","0","17","0","5","32","0","24","55296","23536","190148","172163","26564","11181","284616","7872","0","9","1","0","23588","12431","208","15209","8390","0",
2019-09-29 11:14:48,"14078244","0","0","0","2","0","13","1","87","0","0","0","7728156","540372","511976","28396","0","0","12","1","5","7","0","24","67584","44863","312260","281840","43972","17793","433820","7872","0","9","1","0","23588","21157","208","23935","8726","0",
2019-09-29 11:14:49,"13902412","0","0","0","2","0","12","1","87","0","0","0","7830556","716112","687716","28396","0","0","12","1","5","7","0","24","124928","59190","431684","389104","60996","24259","433820","7872","0","9","1","0","23588","29690","208","32468","8533","0",
2019-09-29 11:14:50,"13721588","0","0","0","2","0","13","1","86","0","0","0","7998492","895984","867588","28396","0","0","13","1","5","9","0","24","119808","85838","550268","495399","77952","30667","727888","7872","0","9","1","0","23588","38145","208","40923","8455","0",
2019-09-29 11:14:51,"13683096","0","0","0","1","0","8","0","92","0","0","0","8023068","934080","905684","28396","0","0","8","0","5","7","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","2066","0",
2019-09-29 11:14:52,"13682940","0","0","0","1","0","0","0","100","0","0","0","8023068","934080","905684","28396","0","0","0","0","5","7","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:14:53,"13682940","0","0","0","1","0","0","0","100","0","0","0","8023068","934080","905684","28396","0","0","0","0","5","7","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:14:54,"13682940","0","0","0","1","0","0","0","100","0","0","0","8023068","934080","905684","28396","0","0","0","0","5","7","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:14:55,"13682940","0","0","0","1","0","0","0","100","0","0","0","8023068","934080","905684","28396","0","0","0","0","5","8","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:14:56,"13682940","0","0","0","1","0","0","0","100","0","0","0","8023068","934080","905684","28396","0","0","0","0","5","7","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:14:57,"13682940","0","0","0","1","0","0","0","100","0","0","0","8023068","934080","905684","28396","0","0","0","0","5","7","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:14:58,"13682940","0","0","0","2","0","0","0","100","0","0","0","8023068","934080","905684","28396","0","0","0","0","5","7","0","24","119808","42062","578940","521369","82048","32233","964900","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:14:59,"13684432","0","0","0","1","0","5","0","95","0","0","0","8023068","932504","904108","28396","0","0","4","0","5","7","0","24","116736","34500","578940","420806","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","8000",
2019-09-29 11:15:00,"13684432","0","0","0","1","0","0","0","100","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","7","0","24","116736","34500","578940","420806","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:15:01,"13684436","0","0","0","1","0","0","0","100","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","7","0","24","116736","34500","578940","420806","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:15:02,"13684436","0","0","0","1","0","0","0","100","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","7","0","24","116736","34500","578940","420806","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:15:03,"13679492","0","0","0","1","0","1","0","99","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","8","0","24","116736","34500","578940","420807","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:15:04,"13679492","0","0","0","1","0","0","0","100","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","7","0","24","116736","34500","578940","420807","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:15:05,"13679492","0","0","0","1","0","0","0","100","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","7","0","24","116736","34500","578940","420807","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
2019-09-29 11:15:06,"13679492","0","0","0","1","0","0","0","100","0","0","0","8023068","932504","904108","28396","0","0","0","0","5","7","0","24","116736","34500","578940","420807","82048","26171","964900","7872","0","9","1","0","23588","32211","208","34989","0","0",
