Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

2019-09-28 09:10:08,"14355336","0","","","6","0","","","","","","","6865556","31132","12516","18616","0","0","","","3","","","17","256000","1518","4480","3053","384","254","21296","7488","0","8","1","","15392","3","0","407","","",
2019-09-28 09:10:09,"14217880","0","0","0","6","0","44","2","54","0","0","0","7479328","178740","150516","28224","0","0","44","1","5","6335","0","26","256000","69140","20608","19854","2176","1924","21296","11648","0","11","1","3","25644","211","208","2990","2583","0",
2019-09-28 09:10:10,"14272052","0","0","0","1","0","41","1","57","0","0","0","7481376","125024","96672","28352","0","0","41","1","5","725","0","26","17408","4040","20864","20357","2176","1924","34776","14272","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:10:11,"14274084","0","0","0","1","0","1","0","99","0","0","0","7481376","125024","96672","28352","0","0","0","0","5","7","0","26","17408","4040","20864","20357","2176","1924","34776","14272","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:10:12,"14274332","0","0","0","1","0","0","0","99","0","0","0","7481376","125024","96672","28352","0","0","0","0","5","7","0","26","17408","4040","20864","20357","2176","1924","34776","14272","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:10:13,"14274196","0","0","0","1","0","0","0","100","0","0","0","7481376","125024","96672","28352","0","0","0","0","5","7","0","26","17408","4040","20864","20357","2176","1924","34776","14272","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:10:14,"14257456","0","0","0","3","0","4","0","96","0","0","0","7499808","143284","114932","28352","0","0","3","0","5","34","0","25","17408","7535","42148","40063","4044","3343","58940","14272","0","9","1","0","24612","230","208","4814","1824","0",
2019-09-28 09:10:15,"14144460","0","0","0","2","0","15","0","85","0","0","0","7602208","255548","227196","28352","0","0","14","0","5","19","0","25","17408","11319","154384","146532","14284","10999","240028","14336","0","9","1","0","24612","328","208","14671","9857","0",
2019-09-28 09:10:16,"14028772","0","0","0","2","0","13","0","87","0","0","0","7706656","371604","343252","28352","0","0","13","0","5","15","0","25","137216","12358","270260","255913","24780","18867","419500","14336","0","9","1","0","24612","430","208","24797","10126","0",
2019-09-28 09:10:17,"13871416","0","0","0","2","0","12","0","87","0","0","0","7809056","528748","500396","28352","0","0","12","0","5","15","0","25","137216","63558","380980","360267","34892","26372","419500","14336","0","9","1","0","24612","526","208","34458","9661","0",
2019-09-28 09:10:18,"13809044","0","0","0","1","0","12","1","87","0","0","0","7897120","590924","562572","28352","0","0","11","1","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","8532","0",
2019-09-28 09:10:19,"13809044","0","0","0","1","0","0","0","100","0","0","0","7897120","590924","562572","28352","0","0","0","0","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","0","0",
2019-09-28 09:10:20,"13809044","0","0","0","1","0","0","0","100","0","0","0","7897120","590924","562572","28352","0","0","0","0","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","0","0",
2019-09-28 09:10:21,"13808820","0","0","0","1","0","0","0","100","0","0","0","7897120","590924","562572","28352","0","0","0","0","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","0","0",
2019-09-28 09:10:22,"13808820","0","0","0","1","0","0","0","99","0","0","0","7897120","590924","562572","28352","0","0","0","0","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","0","0",
2019-09-28 09:10:23,"13808820","0","0","0","1","0","0","0","100","0","0","0","7897120","590924","562572","28352","0","0","0","0","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","0","0",
2019-09-28 09:10:24,"13808820","0","0","0","1","0","0","0","100","0","0","0","7897120","590924","562572","28352","0","0","0","0","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","0","0",
2019-09-28 09:10:25,"13808824","0","0","0","1","0","0","0","100","0","0","0","7897120","590924","562572","28352","0","0","0","0","5","7","0","25","40960","11658","478380","452426","43724","32999","797300","14336","0","9","1","0","24612","611","208","42990","0","0",
2019-09-28 09:10:26,"13809764","0","0","0","1","0","2","0","98","0","0","0","7897120","589432","561080","28352","0","0","2","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","8000",
2019-09-28 09:10:27,"13809696","0","0","0","1","0","0","0","100","0","0","0","7897120","589432","561080","28352","0","0","0","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","0",
2019-09-28 09:10:28,"13809696","0","0","0","1","0","0","0","100","0","0","0","7897120","589432","561080","28352","0","0","0","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","0",
2019-09-28 09:10:29,"13809696","0","0","0","1","0","0","0","100","0","0","0","7897120","589432","561080","28352","0","0","0","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","0",
2019-09-28 09:10:30,"13809696","0","0","0","1","0","0","0","100","0","0","0","7897120","589432","561080","28352","0","0","0","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","0",
2019-09-28 09:10:31,"13809696","0","0","0","1","0","0","0","100","0","0","0","7897120","589432","561080","28352","0","0","0","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","0",
2019-09-28 09:10:32,"13809696","0","0","0","1","0","0","0","100","0","0","0","7897120","589432","561080","28352","0","0","0","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","0",
2019-09-28 09:10:33,"13809696","0","0","0","1","0","0","0","100","0","0","0","7897120","589432","561080","28352","0","0","0","0","5","7","0","25","37888","10196","478380","366013","43724","26784","797300","14336","0","9","1","0","24612","531","208","34990","0","0",
2019-09-28 09:10:34,"13816456","0","0","0","3","0","2","0","99","0","0","0","7897120","582120","553768","28352","0","0","1","0","5","7","0","25","30720","8376","478380","279600","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","8000",
2019-09-28 09:10:35,"13816516","0","0","0","1","0","0","0","99","0","0","0","7897120","582120","553768","28352","0","0","0","0","5","7","0","25","30720","8695","478380","279600","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","0",
2019-09-28 09:10:36,"13816516","0","0","0","1","0","0","0","100","0","0","0","7897120","582120","553768","28352","0","0","0","0","5","7","0","25","30720","8695","478380","279600","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","0",
2019-09-28 09:10:37,"13816516","0","0","0","1","0","1","0","99","0","0","0","7897120","582120","553768","28352","0","0","0","0","5","7","0","25","30720","8695","478380","279600","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","0",
2019-09-28 09:10:38,"13816516","0","0","0","1","0","0","0","100","0","0","0","7897120","582120","553768","28352","0","0","0","0","5","9","0","25","30720","8695","478380","279601","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","0",
2019-09-28 09:10:39,"13816516","0","0","0","1","0","0","0","100","0","0","0","7897120","582120","553768","28352","0","0","0","0","5","7","0","25","30720","8695","478380","279601","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","0",
2019-09-28 09:10:40,"13816516","0","0","0","1","0","0","0","100","0","0","0","7897120","582120","553768","28352","0","0","0","0","5","7","0","25","30720","8695","478380","279601","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","0",
2019-09-28 09:10:41,"13816148","0","0","0","1","0","0","0","100","0","0","0","7897120","582120","553768","28352","0","0","0","0","5","7","0","25","30720","8695","478380","279601","43724","20569","797300","14336","0","9","1","0","24612","451","208","26990","0","0",
2019-09-28 09:10:42,"13863872","0","0","0","3","0","1","0","103","0","0","0","7850016","533560","505208","28352","0","0","1","0","5","7","0","25","27648","6955","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","8000",
2019-09-28 09:10:43,"13867112","0","0","0","1","0","1","0","99","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:44,"13867112","0","0","0","1","0","0","0","100","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:45,"13867112","0","0","0","1","0","0","0","100","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:46,"13867248","0","0","0","1","0","0","0","100","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:47,"13867248","0","0","0","1","0","0","0","100","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:48,"13867248","0","0","0","1","0","0","0","100","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:49,"13867248","0","0","0","1","0","0","0","100","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:50,"13867248","0","0","0","1","0","0","0","100","0","0","0","7850016","530424","502072","28352","0","0","0","0","5","7","0","25","24576","7193","431276","193188","43724","14354","797300","14336","0","9","1","0","24612","371","208","18990","0","0",
2019-09-28 09:10:51,"13880796","0","0","0","1","0","5","1","94","0","0","0","7800864","478800","450448","28352","0","0","1","0","5","8","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","8000",
2019-09-28 09:10:52,"13888980","0","0","0","1","0","0","0","99","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:10:53,"13888980","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:10:54,"13888856","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:10:55,"13888848","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:10:56,"13888856","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:10:57,"13888856","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:10:58,"13888856","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:10:59,"13888364","0","0","0","1","0","1","0","98","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:00,"13888364","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:01,"13888244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:02,"13888244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:03,"13888244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:04,"13888244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:05,"13888244","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:06,"13888000","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:07,"13898660","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:08,"13917144","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:09,"13915904","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:10,"13915904","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:11,"13916212","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:12,"13916412","0","0","0","2","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:13,"13917972","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:14,"13918148","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:15,"13918212","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
2019-09-28 09:11:16,"13918212","0","0","0","1","0","0","0","100","0","0","0","7800864","478800","450448","28352","0","0","0","0","5","7","0","25","20480","5751","382132","106774","43724","8139","797300","14336","0","9","1","0","24612","291","208","10990","0","0",
