Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

2019-09-29 11:17:17,"14575352","0","","","4","0","","","","","","","6865132","31468","12356","19112","0","0","","","3","","","17","256000","1518","3072","3069","256","254","21248","7488","0","8","1","","15392","3","0","407","","",
2019-09-29 11:17:18,"14542248","0","0","0","1","0","12","1","87","0","0","0","7351920","73304","45264","28040","0","0","12","1","5","5389","0","24","14336","3461","18880","19219","2112","2032","31488","7616","0","10","1","2","23592","211","208","2989","2582","0",
2019-09-29 11:17:19,"14542248","0","0","0","1","0","0","0","100","0","0","0","7351920","73304","45264","28040","0","0","0","0","5","7","0","24","14336","3461","18880","19219","2112","2032","31488","7616","0","10","1","0","23592","211","208","2989","0","0",
2019-09-29 11:17:20,"14542248","0","0","0","1","0","0","0","100","0","0","0","7351920","73304","45264","28040","0","0","0","0","5","7","0","24","14336","3461","18880","19219","2112","2032","31488","7616","0","10","1","0","23592","211","208","2989","0","0",
2019-09-29 11:17:21,"14542248","0","0","0","1","0","0","0","100","0","0","0","7351920","73304","45264","28040","0","0","0","0","5","7","0","24","14336","3461","18880","19219","2112","2032","31488","7616","0","10","1","0","23592","211","208","2989","0","0",
2019-09-29 11:17:22,"14447636","0","0","0","5","0","10","0","90","0","0","0","7392880","168480","140436","28044","0","0","10","0","5","70","0","24","15360","7624","73216","68121","9920","4968","121856","7808","0","9","1","0","23588","4086","208","6864","3875","0",
2019-09-29 11:17:23,"14265740","0","0","0","2","0","15","1","84","0","0","0","7491184","350236","322192","28044","0","0","15","1","5","22","0","24","40960","17003","190144","173441","26624","11297","314368","7808","0","9","1","0","23588","12438","208","15216","8352","0",
2019-09-29 11:17:24,"14073544","0","0","0","2","0","13","1","87","0","0","0","7663216","541140","513096","28044","0","0","13","0","5","7","0","24","148480","52922","313472","284560","44224","17976","360000","7808","0","9","1","0","23588","21250","208","24028","8812","0",
2019-09-29 11:17:25,"13908492","0","0","0","2","0","13","1","86","0","0","0","7769712","705396","677352","28044","0","0","12","1","5","7","0","24","102400","60736","433408","392585","61376","24468","603648","7808","0","9","1","0","23588","29817","208","32595","8567","0",
2019-09-29 11:17:26,"13723980","0","0","0","2","0","14","1","86","0","0","0","7933552","889732","861684","28048","0","0","14","1","5","13","0","24","115712","58995","550976","498452","78144","30830","845888","7872","0","9","1","0","23588","38213","208","40991","8396","0",
2019-09-29 11:17:27,"13687532","0","0","0","1","0","7","0","94","0","0","0","7958128","926164","898116","28048","0","0","6","0","5","7","0","24","115712","42061","578880","523651","82112","32345","964800","7872","0","9","1","0","23588","40211","208","42989","1998","0",
2019-09-29 11:17:28,"13687532","0","0","0","1","0","0","0","100","0","0","0","7958128","926164","898116","28048","0","0","0","0","5","7","0","24","115712","42061","578880","523651","82112","32345","964800","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:17:29,"13687536","0","0","0","1","0","0","0","100","0","0","0","7958128","926164","898116","28048","0","0","0","0","5","7","0","24","115712","42061","578880","523651","82112","32345","964800","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:17:30,"13687536","0","0","0","1","0","0","0","100","0","0","0","7958128","926164","898116","28048","0","0","0","0","5","7","0","24","115712","42061","578880","523651","82112","32345","964800","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:17:31,"13687536","0","0","0","1","0","0","0","100","0","0","0","7958128","926164","898116","28048","0","0","0","0","5","7","0","24","115712","42061","578880","523651","82112","32345","964800","7872","0","9","1","0","23588","40211","208","42989","0","0",
2019-09-29 11:17:32,"13686792","0","0","0","1","0","0","0","100","0","0","0","7958128","926164","898116","28048","0","0","0","0","5","7","0","24","115712","42061","578880","523651","82112","32345","964800","7872","0","9","1","0","23588","40211","208","42989","0","0",
