Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

2019-09-29 11:19:53,"14577112","0","","","5","0","","","","","","","6865132","31556","12568","18988","0","0","","","2","","","17","256000","1518","3088","3074","256","254","21296","7488","0","8","1","","15392","3","0","407","","",
2019-09-29 11:19:54,"14541600","0","0","0","1","0","12","1","86","0","0","0","7418484","74128","46232","27896","0","0","12","1","5","5388","0","25","14336","3461","18864","19221","2096","2034","31440","7616","0","11","1","3","24620","211","208","2989","2582","0",
2019-09-29 11:19:55,"14541356","0","0","0","1","0","0","0","100","0","0","0","7418484","74128","46232","27896","0","0","0","0","5","7","0","25","14336","3461","18864","19221","2096","2034","31440","7616","0","11","1","0","24620","211","208","2989","0","0",
2019-09-29 11:19:56,"14541356","0","0","0","1","0","0","0","100","0","0","0","7418484","74128","46232","27896","0","0","0","0","5","7","0","25","14336","3461","18864","19221","2096","2034","31440","7616","0","11","1","0","24620","211","208","2989","0","0",
2019-09-29 11:19:57,"14541232","0","0","0","1","0","0","0","100","0","0","0","7418484","74128","46232","27896","0","0","0","0","5","7","0","25","14336","3461","18864","19221","2096","2034","31440","7616","0","11","1","0","24620","211","208","2989","0","0",
2019-09-29 11:19:58,"14449348","0","0","0","3","0","10","1","90","0","0","0","7459444","166884","138988","27896","0","0","10","0","5","66","0","24","15360","8263","72576","64483","9776","4942","117632","7808","0","9","1","0","23588","4049","208","6827","3838","0",
2019-09-29 11:19:59,"14287824","0","0","0","2","0","15","1","84","0","0","0","7557748","327268","299372","27896","0","0","15","1","5","20","0","24","61440","16191","185248","159294","25872","11040","307120","7808","0","9","1","0","23588","12096","208","14874","8047","0",
2019-09-29 11:20:00,"14090872","0","0","0","2","0","13","1","87","0","0","0","7721588","524176","496280","27896","0","0","12","1","5","7","0","24","73728","31577","302976","258366","42688","17413","471984","7808","0","9","1","0","23588","20506","208","23284","8410","0",
2019-09-29 11:20:01,"13934136","0","0","0","2","0","12","1","87","0","0","0","7819892","681152","653256","27896","0","0","12","1","5","7","0","24","129024","41262","418880","355900","59248","23687","471984","7808","0","9","1","0","23588","28784","208","31562","8278","0",
