Vitals:
Short Term Values:
,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

2019-09-28 09:12:43,"14287560","0","","","4","0","","","","","","","6865132","31692","12384","19308","0","0","","","2","","","17","256000","1518","3072","3068","256","254","21248","7488","0","8","1","","15392","3","0","407","","",
2019-09-28 09:12:44,"14123156","0","0","0","6","0","44","2","54","0","0","0","7485048","204908","176748","28160","0","0","44","2","5","6256","0","26","256000","91850","20160","20621","2112","2034","21248","11264","0","11","1","3","25644","211","208","2990","2583","0",
2019-09-28 09:12:45,"14203508","0","0","0","1","0","38","1","61","0","0","0","7485048","123788","95500","28288","0","0","38","1","5","747","0","26","14336","3999","20800","21253","2112","2034","34688","14144","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:12:46,"14203508","0","0","0","1","0","0","0","100","0","0","0","7485048","123788","95500","28288","0","0","0","0","5","7","0","26","14336","3999","20800","21253","2112","2034","34688","14144","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:12:47,"14203464","0","0","0","1","0","0","0","100","0","0","0","7485048","123788","95500","28288","0","0","0","0","5","7","0","26","14336","3999","20800","21253","2112","2034","34688","14144","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:12:48,"14228060","0","0","0","1","0","3","0","97","0","0","0","7485048","123788","95500","28288","0","0","0","0","5","7","0","26","14336","3999","20800","21253","2112","2034","34688","14144","0","11","1","0","25644","211","208","2990","0","0",
2019-09-28 09:12:49,"14198592","0","0","0","2","0","7","0","93","0","0","0","7509624","156044","127756","28288","0","0","4","0","5","35","0","25","14336","8163","50688","53238","4288","4189","72320","14272","0","9","1","0","24612","238","208","5690","2700","0",
2019-09-28 09:12:50,"14082776","0","0","0","2","0","14","1","85","0","0","0","7607928","272036","243748","28288","0","0","14","0","5","19","0","25","135168","8359","158464","168563","12096","11961","245248","14336","0","9","1","0","24612","336","208","15431","9741","0",
2019-09-28 09:12:51,"13954932","0","0","0","2","0","13","1","87","0","0","0","7714424","399376","371088","28288","0","0","12","0","5","15","0","25","34816","20099","270208","288254","20160","20027","409856","14336","0","9","1","0","24612","437","208","25541","10110","0",
